doc_id,doc,tokens,ner_tags
801,"New Trailer For Platinum Games ' Vanquish for PS3 , Xbox 360 : by Widro - September 17 , 2010 | Email the author Direc ... http://bit.ly/aCPM2x",360,I-product
802,"RT @ArtVanFurniture : Mr . Van sure is busy today . Here , he takes time to talk with a crew from @wilxTV . http://twitpic.com/2pb3i4",.,I-person
840,Beginning what I hope will be a long and wonderful relationship with it 's always sunny . Since I do own season 1 and 2 on DVD already .,'s,I-creative-work
875,"Doing "" spring cleaning "", found photo storage tank that is 5x size of my iPhone with less capacity than iPhone4 ... 4 years old , technology !",iPhone4,B-product
901,@Zerinaakers talking about as far as shooting for location its going to be on #Vh1 so by the end of the month i should know something,#Vh1,B-corporation
903,"At 7pm we'll show the Awarded movie "" Agora "" by Spanish director Alex Amenabar who directed "" Mar Adentro "" ( "" The Sea Inside "" ) . W/Rachel Weisz .",W/Rachel,B-person
948,"George N . Parks , UMass band director , dies after performance in Ohio : George N . Parks , for 33 years the dire ... http://tinyurl.com/2femvgq",.,I-person
950,anyone else ever have a problem moving a Hyper V guest from a server 2008 to server 2008 R2 host ? Having strange lock up after the move ..,R2,I-product
975,I love seeing the U.S. Capitol building in my rearview mirror when I'm driving home from work . #ILoveDC,U.S.,B-location
982,Tonight is Theeeeeeeeeee niiiiiiiiiight ;) . *Gwen Stefani voice* :] .,*Gwen,B-person
994,"You know , we got to thinking . We've been ragging on poor M . Night for weeks now and perhaps , just perhaps , we're... http://fb.me/v87NJfkO",.,I-person
1001,"A FUN movie for the kids- Alpha &amp; Omega ( PG ) Friday 5:00 , 7:00 , 8:45 , Saturday- 1:30 , 3:15 , 5:00 , 7:00 , 8:45 ,... http://fb.me/IiraJpe3",&amp;,I-creative-work
1029,First Day of Autumn Networking Mixer at Dick 's Carpet next T ... http://conta.cc/ap95gL via #constantcontact,'s,I-location
1034,BORDER LINEA IS TONIGHT ! 9 p.m. to 2 a.m. NO COVER . Come by and see local musicians and artists showcased at Limelight on St . Mary's.,Mary's.,I-location
1038,"AI : DEMAND RELEASE FOR SYRIAN BLOGGER : 17-9-2010Tal al-Mallohi , a 19-year-old Syrian woman , has been held incommun ... http://bit.ly/aDG3ub",al-Mallohi,B-person
1065,"A week in New Jersey , of all places , and I never want to hear a *Boston* accent again .",*Boston*,B-location
1094,#futbol &gt; Newcastle Jets Youth v AIS U21 @ 18 Sep 04:00 - precios actualizados ! http://bit.ly/dBJacr #apuestas,U21,I-group
1107,business technology today http://bit.ly/9cugk1 Cyber-Ark to Showcase Business and Compliance Advantages of Privileged Identity Managem ... ;O,Cyber-Ark,B-corporation
1109,"'Come to "" MRB @ 61 Roadhouse BBQ "" Sunday , October 10 from 12:00 pm to 4:00 pm . We are playing for the 61 Roadhouse ... http://fb.me/G1FbJGw1'",61,B-location
1212,@ConorMc_Ginty GaGa played here a few weeks back . She spoke out against SB1070 during the show . God bless her for that .,SB1070,B-product
1220,Amazon U.K. Offering HTC Desire Z Unlocked October 11 : We just got official word of the HTC Desire Z earlier in Lo ... http://bit.ly/bsyz9H,U.K.,I-corporation
1280,I 've just watched first four episodes of K-On for the first time ! : 3,K-On,B-creative-work
1300,Engadget : Sky 3D enlists Stephen Fry to explain the technology ahead of its October 1 launch ( video) : With the of ... http://bit.ly/abRALO,3D,I-corporation
1395,Saturday September 18th 2010 8pm Hotel Elegante Steve &quot; Stylez &quot; A.K.A. Desperado Birthday Bash ! &quot; Headrush in da building &quot;,&quot;,I-person
1396,sfitzy93 asked : No problem ( : awesome ! toast = life :P .. You doing anything for the day ? http://tumblr.com/xkdiufb81,sfitzy93,B-person
1415,"#jobs #careers #Greenville AT&amp;T Full Time Retail Sales Consultant(s ) - Greenville , AL http://bit.ly/dflARA",AT&amp;T,B-corporation
1422,"RT @Madslanger : Performing in Naples tomorrow with N.E.R.D. , Maroon 5 and others at the MTV show . Tonight Stars in Vordingborg - few tic ...",5,I-group
1451,"Fashion week ends with Ralph Lauren , Oscar de la Renta , Gwen Stefani &amp; a Weir ...: -Coco Chanel "" I design for the ... http://bit.ly/beBG9e",-Coco,B-person
1490,http://sk.mu/aEnsGunwfr9 : Above&amp;Beyond - Trance Around The World 338 ( Wippenberg Guestmix ) ( 17 September 2010 ) #Trance #Trancefamily #TATW,338,I-creative-work
1500,CyberNation Sky 3D enlists Stephen Fry to explain the technology ahead of its October 1 launch ( video) : With the o ... http://bit.ly/aWoRmo,3D,I-corporation
1582,"@Kybil Hmm ... I probably would . I don't know if I can find a visual for R'lyeh, though . I may have to bust out my copy of the story ...","R'lyeh,",B-person
1594,Today = Morton 's Salt motto + Murphy 's Law,'s,I-product
1599,RT @medeadly : 50 tyson droppin a video before you bumass rappers .... i bet they hella mad ... yall niggas been rappin for years and still a ...,50,B-person
1617,"'RT @amandacarolinne : "" Danger Days : The True Lives Of The Fabulous Killjoys ""'",:,I-creative-work
1619,watching camp rock 2 again ... all the way through this time :P .,2,I-creative-work
1664,"Well , I was gonna buy a Zune HD ... but now that the @Rally4Sanity exists , I must go to D.C. next month . YESSSSSS .",D.C.,B-location
1707,"he likes prince , paul simon , and o.d.b. i may have found my soul mate .",o.d.b.,B-person
1715,"Conflicts of Law : Cases and Materials : R . Lea Brilmayer , Jack L . Goldsmith[May 01 , 2011 ] http://amzn.to/bnabQu",:,I-product
1744,Best #free #livemusic in #Denver tonight with the return of Breaking &amp; Entering . Be sure to come down to Hi Pac and check it out !,&amp;,I-group
1745,Xbox 360 : Enslaved : Odyssey to the West Demo Coming to PlayStation Network on September ... http://bit.ly/9gFTHn,:,I-product
1746,"I'm at Bowl Long Island ( 138 West Ave , Patchogue) . http://4sq.com/aX6N26",Patchogue),B-location
1759,Free Romeo &amp; Julliet under the stars tonight thru Sunday in South Park- please retweet please come ! http://is.gd/ff482,Park-,I-location
1809,RT @therbertson : Just saw the worst movie in years ... Piranha 3D just exceeded the limits of crappyness . | Glad you enjoyed it .,3D,I-creative-work
1842,@MikePortnoy I got slapped in the face the other day by a few DT fans because I said you were awesome for joining A7X . So worth it . foREVer !,A7X,B-group
1849,@jaredleto ... ive been to 13 30stm concerts now and you never got me on stage during/before kings and queens :( ((,30stm,B-group
1871,RT @ajc : Today 's the 102nd birthday of the American Professional Football Association ( we call it the NFL) . First draft choice : Brett Favre .,NFL),B-group
1881,Oh lord here we go again Paranormal Activity 2 http://j.mp/ascgZr I 'm not requesting it in my area this time . Are you ?,2,I-creative-work
1882,RT @HippoArmy : Thousands of angry masturbators marched against Christine O'Donnell today http://bit.ly/9nTWQw Seriously .,O'Donnell,I-person
1894,@Jessica_Chobot did you see the yakuza vs zombies .... smh but cool at the same time,@Jessica_Chobot,B-person
1904,"MD Jobs | Executive Pharmacist-Full Time Float-Ellicott City , MD Job ( MD ) http://bit.ly/daNH6v #Job #Hiring #MDJobs",Float-Ellicott,B-location
1913,Avast AntiVirus 4 8 PROFIONAL Full Life Time Key : Avast AntiVirus 4.8 PROFESIONAL Full with Life Time Keygen ! ---- ... http://bit.ly/blPqIH,4.8,I-product
1917,"#October Iron Man 2 ( Three-Disc Blu-ray/DVD Combo + Digital Copy ) Starring : Robert Downey Jr ., Mickey Rourke Direc ... http://bit.ly/a6iCPn",2,I-creative-work
1918,@jesus_army :-( Mikes been at A&amp;E all day and is now comfortable in a hospital bed :-( Hope you are both better soon .,A&amp;E,B-location
1919,"RT @DeepakChopra : Split me , make me nothing . Fling me across the fabric of space and time . From nothing once again , make me everything -Rumi",-Rumi,B-person
1921,"The Get Up Kids , Sunny Day Real Estate , and Cap'n Jazz are quite possibly the greatest ( original ) emo bands to ever exist . Ever . So listen .",Cap'n,B-group
1949,Chinese symbols Sotheby | ' s Hong Kong twentieth century Chinese art sales fall in October http://bit.ly/aFLHax,',I-corporation
1950,RT @ChicagoFire : Join the TIFO CREW says @Section8Chicago 's Dan Martin in this week 's S8 blog : http://ow.ly/2G43u,S8,B-creative-work
2004,"Stop by teh Nex-Tech and Nex-Tech Wireless tent at TailGreat tomorrow evening for Free ice cream , bottles of water and an FHSU foam finger .",Nex-Tech,B-corporation
2015,Small Biz Tech Tour 2010 Launches Five City Tour MONTCLAIR N.J. ...: The all day event features America's... http://tinyurl.com/28hd9fu #fb,N.J.,B-location
2029,RT @josielovesmcr : Danger Days : True Lives of The Fabulous Killjoys #mychemicalromance,:,I-creative-work
2100,Really hope I can get to @glasgowfilm for Winter 's Bone - need to get on with job applications tonight then ! Trailer : http://bit.ly/bhUlum,'s,I-creative-work
2139,Headed to Davidson vs Blount with Bennett- love spending time with my son !,Bennett-,B-person
2140,""" compare where you are to where you wanna be and you'll get nowhere "". Thanks for the reminder , Sara B . Focusing on the good . Show tonight !",.,I-person
2183,"When you judge another you don't define them , you define yourself . ~Wayne Dyer",~Wayne,B-person
2192,"'Rickey Smiley had me laughing all day today . "" Um yes , Do you serve boiled rottweiler lips ?""'",'Rickey,B-person
2198,"RT @KenzieComersMum : &quot; He 's Just A Boy &quot; music video will be uploaded on to @mckenziecomer you tube channel today 5 pm AEST Sat 18th Sept , ...",'s,I-creative-work
2217,RT @RealJudgeJules : Playing the world exclusive of @SanderVanDoorn remix of @swedishousemfia - Miami 2 Ibiza on the show tonight . Tune i ...,2,I-creative-work
2269,"@jasonderulo jason , coming to see you at Newcastle-Upon-Tyne in Feb , cant wait !! How are you ? xx",Newcastle-Upon-Tyne,B-location
2314,"'RT @TheGhostOfYou_ : Adeus noites bem dormidas RT @Vivi_Venom "" Danger Days : The True Lives Of The Fabulous Killjoys ."" 22nd november'",:,I-creative-work
2326,Last film I can watch on a decent telly for a while tonight . Kick-Ass is very tempting indeed .,Kick-Ass,B-creative-work
2376,Posted a new blog today about the new Lounge22 Powered by CORT collection ! The furniture is divine : http://go.cort.com/5f,Lounge22,B-product
2378,"Win tix 2 KELE and DOES IT OFFEND YOU , YEAH ? Sept 21st @ Music Box : contest@ dimmak.com | Afterparty at Dim Mak Tuesdays @CinespaceLA",?,I-group
2400,"RT @_SoleSurvivors : Air Jordan 11 Retro Low GS "" Citrus "" Release : Jun 20 , 2015 $120 #thesolesurvivors http://t.co/JLdPdl5F01",11,I-product
2420,"[ ClimateX ] 19 Jan ' 15 , 10:00 AM : it is currently raining over Sta . Ana Municipal Grounds , #Cagayan . Rain rate is ... http://t.co/Sj0MOKoOqR",.,I-location
2447,Women may fall when there 's no strength in men . ~William Shakespeare #women,~William,B-person
2480,Mint GoPro Hero3+ Plus Black Edition HD Camcorder Camera Bundle With Extras $ 360.00 End Date : Sunday Dec-28-2014 13:47 : 32 PSTBuy It N %s,Hero3+,I-product
2486,"12 "" 3PCS Set Disney Frozen Queenx Elsa Princesses Anna Olaf Snowman Dolls Toys $ 5.50 ( 6 Bids)End Date : Friday ... http://t.co/LKTXkMOLgP",3PCS,I-product
2487,#Deals #281 http://t.co/Yv9CgRDYpN XPS M1330 PC Linux Coding wireless #laptop $ 140.00 End Date : Sunday Jan-25- ... http://t.co/VsVtWXoWV9,M1330,I-product
2531,"Big hero 6 booked for tomorrow , me and Lou are still 7 at heart",6,I-creative-work
2540,"2020 PG Khalen "" KK "" Robinson w/ 15 points , 5 assists , 2 rebounds and 2 steals in 9th grade game !! Episcopal 48 Mayflower 36","""",I-person
2541,"TmarTn may have gotten a GT-R , by I'm getting a M3 , and that means something .",M3,B-product
2583,Winter Weather Advisory has been issued for the following areas : East Slopes of the Washington Cascades-WA . Effective until 04:00 PM PST Sat,Cascades-WA,I-location
2586,"Also having a hard time figuring out how CBHS is third in the D2 poll . Briarcrest is 5th , St . George 's 6th and Lausanne 10th .",.,I-group
2596,Picture Of City Of New York Fire Department Ladder Company 25 . Photo Taken Tuesday Janua ... http://t.co/lbohLRZwOD http://t.co/Xvs0iyVyKc,25,I-group
2609,RT @Guild_Gamer : So another article up for the PS4 tournament with some rules . Check it out http://t.co/XSJMR1UnKI,PS4,B-product
2632,RT @WINDmobile : ReadySetGo ! RT in the next 5min for a chance to win the 27th #Nexus6 ! #BirthdayGift http://t.co/icNQXFdij0,#Nexus6,B-product
2635,#8825 Panasonic AG-HMC40P Professional 3mos AVCCAM http://t.co/4kNaSwaKKg $ 599.00 ( 0 Bids ) End Date : Saturday ... http://t.co/R87eCWkGq2,3mos,I-product
2649,#9989 BOGEN / MANFROTTO 501 HEAD with camera mounting plate http://t.co/UN11lHxESG $ 150.00 End Date : Friday Ja ... http://t.co/iQiuPeO0PA,501,I-product
2661,"RT @thefairchilds : Time for some lyrics w/ gorgeous Guild Guitars D55 ... Tomorrow , back to LALALAND ! http://t.co/WyTU1WuXZS",D55,I-product
2664,"Pre Order Jaket Korea BARCA "" RIDE "" sd 7 Jan , 185K belum ongkir @bcannon241 SMS/WA 081235994171 pin 512A3491 http://t.co/8V2X1RSPYO","""",I-product
2678,Our own Richard Smith is on the scene for the Terps-Illini game : http://t.co/OMLAs7Msv7,Terps-Illini,B-group
2719,So the next ' A Song Of Ice &amp; Fire ' book won't be out this year at all . Have to do with more Dunc &amp; Egg prequels then ! http://t.co/wfxPsIgGao,&amp;,I-creative-work
2732,"Candlelight vigil scheduled for John Paul Quintero , man shot by Wichita police , tomorrow night at St . Mark's. http://t.co/ODZPuFVYqF",Mark's.,I-location
2740,""" Junk food may not kill us directly , but by prompting the collapse of .. a mutually beneficial symbiosis ."" -Velasquez-Manoff #diet",-Velasquez-Manoff,B-person
2743,It has been a who 's who of alumni at the Hawk 's Nest . Who will there tomorrow ? The young ones can learn a lot .,'s,I-location
2746,"RT @blackvoices : Willie Mae "" Big Mama "" Thornton was born today December 11th , in 1926 . http://t.co/04P5I9VIA7","""",I-person
2748,"Pre Order jaket Korea CHELSEA "" RIDE "" sd 7 Jan , 185K belum ongkir @rio_intan SMS/WA 081235994171 pin 512A3491 http://t.co/qvN7jhp0II","""",I-product
2760,BEAUTY TIPS : http://t.co/32deZSbvFR #3146 SK-II Facial Treatment UV Protection SPF 25 PA++ 30g Sun Care SK2 SK ... http://t.co/u1gYPCzydf,30g,I-product
2788,"RT @OfficialBHAFC : #BHAFC subs v #AFC : Walton ( GK) , Hughes , Rea , Chicksen , Colunga , March , Mackail-Smith . #BHAvAFC",Mackail-Smith,B-person
2799,"RT @MashAnnArbor : Mike May &amp; The Messarounds headline tonight at 10pm , Laura Rain Duo opens at 6pm .",&amp;,I-group
2800,H.E Museveni says we should not plan politics but continue doing our usual activities . He wants to adress issues of today not tomorrow's.,H.E,B-person
2813,RT @KTNKenya : Residents of Nandi-Kabras border struggle to rebuild their lives after December clashes http://t.co/d3FoJ8lb0e,Nandi-Kabras,B-location
2832,#Cartier - Cartier Must 21 2 TONE MENS Watch + CARTIER BOX MId Size : $ 800.00 ( 0 Bids)End Date : Sat ... http://t.co/djU4ZCwCQd #Deals_US,+,I-product
2858,"We must learn to live together as brothers or perish together as fools , -- Speech in St , Louis , Missouri , March 22 , 1964",",",I-location
2867,Compu Deals : http://t.co/4ZtFowj6FF For New iPad 4 4G Gen 3 3rd 2 360 Rotating Magnetic PU Leather Case Smart ... http://t.co/5OasEiarh3,4,I-product
2877,"#Huawei #AscendGX1 - Huawei on Monday launched its latest phablet , the Ascend GX1 , in China at ... http://t.co/KuzAhRKR3j - #Google #Tech",GX1,I-product
2894,Apple ipad 1st Generation 32gb with black leather case http://t.co/s0MB4DvxW6 #premierleague #manutd #yapper #i ... http://t.co/m29kbRK7XM,32gb,I-product
2918,Study and Go Abroad Fairs . They will be holding an Expo on Feb 25 at the Vanc . Convention Centre from 2-6 pm . http://t.co/7njj7B8Pj3,.,I-location
2920,"RT @SneakerShouts : The Air Jordan Bordeaux 7s retro again on July 4th , 2015 http://t.co/NCO1pkxmf5",7s,I-product
2942,iPad Mini Retina 2nd Generation 16GB Wifi - Space Gray/Whitehttp :/ / rover.ebay.com/rover/1/711-53200-19255-0/1?ff3 ... http://t.co/LSXxLAoWO3,16GB,I-product
2953,"Pre Order Jaket Korea BARCA "" RIDE "" sd 7 Jan , 185K belum ongkir @riyan_rabbit SMS/WA 081235994171 pin 512A3491 http://t.co/icBiZMv5dS","""",I-product
2961,RT @DFkinLopes : when u miss the Capri-sun hole http://t.co/wVMkaxk1il,Capri-sun,B-product
3016,#7882 Samsung WB350F Smart Digital Camera - Brown + 16GB http://t.co/87s12vcREn $ 138.89 End Date : Monday Jan-1 ... http://t.co/RElhWTbRgD,WB350F,I-product
3019,@kuabt Young Dro and Cap 1 celebrate their birthdays this Friday @AtlHarlemNights text HARLEM to 545454 enter free til 12,1,I-person
3057,"#Job #KansasCity Area Sales Director &amp; Publisher ( 950) : MO-Kansas City , Join the 17th Fastest Growing Private ... http://t.co/4NbluSUTeq",MO-Kansas,B-location
3120,"Obama announces sweeping changes to U . S . -Cuba relations : JC FinleyWASHINGTON , Dec . 17 ( UPI ) -- U.S. Pr ... http://t.co/2C0PiwaSfO #TSCEnt",U.S.,B-location
3144,@dubz929 @swiftyislol360 seeing as they are redoing Secret Wars in May I can see that being similar to Avengers 3 &amp; 4 Infinity Wars .,3,I-creative-work
3166,RT @AthCenter : Retweet for a chance to win these Roshe's! Must be following us to enter . Winner picked January 31st ! http://t.co/tpyyxpe79V,Roshe's!,B-product
3197,RT @JenLawUS : DVD DATE : Mockingjay : Part 1 will be released 6th March on DVD . http://t.co/YJes8e8XvD,1,I-creative-work
3202,"RT @TmarTn : Wow . The number 1/ 12,300 20th anniversary Playstation 4 sold for $ 128,000 :O http://t.co/Zw69ngeHZa http://t.co/zOLilfQJOW",4,I-product
3296,"Pre Order parasut Inter black-blue sd 21 JAN , 185K belum ongkir @cosmopolene SMS/WA 081235994171 PIN 512A3491 http://t.co/JWluscllv7",black-blue,I-product
3344,#Deals #82 http://t.co/3YSnDYVuck 72F7210 9556 RISER BOARD WITH WARRANTY via eBay_US $ 50.00 End Date : Sunday F ... http://t.co/v8zcEV5Lzk,9556,I-product
3377,"Photo : GamePro #142 , July 2000 . A preview of Tekken Tag Tournament on the PS2 ! Follow OldGameMags on ... http://t.co/LSUGkhiyM8",PS2,B-product
